,name,type,displayName,pipLocation,displayPrecision,tradeUnitsPrecision,minimumTradeSize,maximumTrailingStopDistance,minimumTrailingStopDistance,maximumPositionSize,maximumOrderUnits,marginRate,guaranteedStopLossOrderMode,tags,financing,minimumGuaranteedStopLossDistance,guaranteedStopLossOrderExecutionPremium,guaranteedStopLossOrderLevelRestriction
32,GBP_SGD,CURRENCY,GBP/SGD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0548', 'shortRate': '-0.0522', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0150,0.00050,"{'volume': '1000000', 'priceRange': '0.01500'}"
33,GBP_HKD,CURRENCY,GBP/HKD,-4,5,0,1,1.00000,0.00050,0,100000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0108', 'shortRate': '-0.0125', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
34,EUR_NZD,CURRENCY,EUR/NZD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '0', 'shortRate': '0', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0030,0.00040,"{'volume': '1000000', 'priceRange': '0.00250'}"
35,XAG_AUD,METAL,Silver/AUD,-4,5,0,1,1.00000,0.00050,0,500000,0.1,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0135', 'shortRate': '-0.0095', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
36,WTICO_USD,CFD,West Texas Oil,-2,3,0,1,100.000,0.050,0,100000,0.1,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '0.053', 'shortRate': '-0.103', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",1.50,0.060,"{'volume': '3000', 'priceRange': '0.250'}"
37,XAG_NZD,METAL,Silver/NZD,-4,5,0,1,1.00000,0.00050,0,500000,0.1,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0147', 'shortRate': '-0.0077', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
38,SGD_CHF,CURRENCY,SGD/CHF,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0049', 'shortRate': '-0.0265', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
39,AUD_SGD,CURRENCY,AUD/SGD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0537', 'shortRate': '-0.0471', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0075,0.00200,"{'volume': '1000000', 'priceRange': '0.00750'}"
40,TWIX_USD,CFD,Taiwan Index,0,1,1,0.1,10000.0,5.0,0,10000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.0255', 'shortRate': '-0.0245', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
41,EUR_JPY,CURRENCY,EUR/JPY,-2,3,0,1,100.000,0.050,0,100000000,0.0333,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0147', 'shortRate': '-0.0065', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.15,0.020,"{'volume': '1000000', 'priceRange': '0.250'}"
42,USD_CHF,CURRENCY,USD/CHF,-4,5,0,1,1.00000,0.00050,0,100000000,0.04,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0014', 'shortRate': '-0.0192', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
43,USD_TRY,CURRENCY,USD/TRY,-4,5,0,1,1.00000,0.00050,0,10000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.3391', 'shortRate': '-0.076', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
44,GBP_JPY,CURRENCY,GBP/JPY,-2,3,0,1,100.000,0.050,0,50000000,0.0333,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.008', 'shortRate': '-0.0146', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.30,0.050,"{'volume': '1000000', 'priceRange': '0.250'}"
45,EUR_CZK,CURRENCY,EUR/CZK,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.065', 'shortRate': '0.0189', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
46,CHF_ZAR,CURRENCY,CHF/ZAR,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0895', 'shortRate': '0.0247', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
47,BTC_USD,CFD,Bitcoin,0,1,2,0.01,10000.0,5.0,0,1000,0.5,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CRYPTO'}]","{'longRate': '-0.2505', 'shortRate': '-0.2495', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
48,EUR_TRY,CURRENCY,EUR/TRY,-4,5,0,1,1.00000,0.00050,0,10000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.3445', 'shortRate': '-0.0433', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
49,USD_JPY,CURRENCY,USD/JPY,-2,3,0,1,100.000,0.050,0,100000000,0.0333,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0078', 'shortRate': '-0.013', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.15,0.020,"{'volume': '1000000', 'priceRange': '0.250'}"
50,GBP_ZAR,CURRENCY,GBP/ZAR,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0736', 'shortRate': '0.0216', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
51,SGD_JPY,CURRENCY,SGD/JPY,-2,3,0,1,100.000,0.050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0113', 'shortRate': '-0.0204', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.75,0.030,"{'volume': '1000000', 'priceRange': '0.750'}"
52,XAU_SGD,METAL,Gold/SGD,-2,3,0,1,100.000,0.050,0,20000,0.05,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0195', 'shortRate': '-0.0141', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
53,USD_CZK,CURRENCY,USD/CZK,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0581', 'shortRate': '0.0125', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
54,XAU_JPY,METAL,Gold/JPY,1,0,0,1,100000,50,0,20000,0.05,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.01', 'shortRate': '-0.0136', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
55,XAG_JPY,METAL,Silver/JPY,0,1,0,1,10000.0,5.0,0,500000,0.1,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0124', 'shortRate': '-0.0108', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
56,USD_NOK,CURRENCY,USD/NOK,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0166', 'shortRate': '-0.0068', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.1000,0.00400,"{'volume': '1000000', 'priceRange': '0.10000'}"
57,ZAR_JPY,CURRENCY,ZAR/JPY,-2,3,0,1,100.000,0.005,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '0.0249', 'shortRate': '-0.0769', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
58,TRY_JPY,CURRENCY,TRY/JPY,-2,3,0,1,100.000,0.050,0,100000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0469', 'shortRate': '-0.3387', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
59,USD_DKK,CURRENCY,USD/DKK,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0038', 'shortRate': '-0.0186', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
60,EUR_PLN,CURRENCY,EUR/PLN,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0357', 'shortRate': '0.0102', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
61,SUGAR_USD,CFD,Sugar,-4,5,0,1,1.00000,0.00050,0,20000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.107', 'shortRate': '0.057', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",,,
62,AUD_CAD,CURRENCY,AUD/CAD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0132', 'shortRate': '-0.0097', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0045,0.00050,"{'volume': '1000000', 'priceRange': '0.00250'}"
63,USD_HKD,CURRENCY,USD/HKD,-4,5,0,1,1.00000,0.00050,0,100000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0109', 'shortRate': '-0.0116', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
