,name,type,displayName,pipLocation,displayPrecision,tradeUnitsPrecision,minimumTradeSize,maximumTrailingStopDistance,minimumTrailingStopDistance,maximumPositionSize,maximumOrderUnits,marginRate,guaranteedStopLossOrderMode,tags,financing,minimumGuaranteedStopLossDistance,guaranteedStopLossOrderExecutionPremium,guaranteedStopLossOrderLevelRestriction
64,CAD_SGD,CURRENCY,CAD/SGD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0209', 'shortRate': '-0.0178', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0075,0.00030,"{'volume': '1000000', 'priceRange': '0.01000'}"
65,US2000_USD,CFD,US Russ 2000,-2,3,1,0.1,100.000,0.050,0,5000,0.1,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.0255', 'shortRate': '-0.0245', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",23.20,0.500,"{'volume': '500', 'priceRange': '25.000'}"
66,DE10YB_EUR,CFD,Bund,-2,3,0,1,100.000,0.050,0,150000,0.2,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'BOND'}]","{'longRate': '-0.064', 'shortRate': '0.014', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",,,
67,USB02Y_USD,CFD,US 2Y T-Note,-2,3,0,1,100.000,0.050,0,200000,0.2,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'BOND'}]","{'longRate': '-0.015', 'shortRate': '-0.035', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",,,
68,USB05Y_USD,CFD,US 5Y T-Note,-2,3,0,1,100.000,0.050,0,200000,0.2,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'BOND'}]","{'longRate': '-0.007', 'shortRate': '-0.043', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",,,
69,USB10Y_USD,CFD,US 10Y T-Note,-2,3,0,1,100.000,0.050,0,200000,0.2,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'BOND'}]","{'longRate': '-0.002', 'shortRate': '-0.048', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",,,
70,GBP_NZD,CURRENCY,GBP/NZD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '0', 'shortRate': '0', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0060,0.00050,"{'volume': '1000000', 'priceRange': '0.00500'}"
71,XAU_NZD,METAL,Gold/NZD,-2,3,0,1,100.000,0.050,0,20000,0.05,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0122', 'shortRate': '-0.0106', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
72,ETH_USD,CFD,Ether,-1,2,2,0.01,1000.00,0.50,0,10000,0.5,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CRYPTO'}]","{'longRate': '-0.2505', 'shortRate': '-0.2495', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
73,NZD_USD,CURRENCY,NZD/USD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '0', 'shortRate': '0', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0030,0.00010,"{'volume': '1000000', 'priceRange': '0.00250'}"
74,XAG_GBP,METAL,Silver/GBP,-4,5,0,1,1.00000,0.00050,0,500000,0.1,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0162', 'shortRate': '-0.0081', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
75,XAG_EUR,METAL,Silver/EUR,-4,5,0,1,1.00000,0.00050,0,500000,0.1,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0081', 'shortRate': '-0.0146', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
76,CORN_USD,CFD,Corn,-2,3,0,1,100.000,0.050,0,1500000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.025', 'shortRate': '-0.025', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",,,
77,XAG_USD,METAL,Silver,-4,5,0,1,1.00000,0.00050,0,500000,0.1,ALLOWED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0147', 'shortRate': '-0.0077', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.2400,0.03000,"{'volume': '25000', 'priceRange': '0.25000'}"
78,AUD_NZD,CURRENCY,AUD/NZD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '0', 'shortRate': '0', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0030,0.00100,"{'volume': '1000000', 'priceRange': '0.00250'}"
79,UK100_GBP,CFD,UK 100,0,1,1,0.1,10000.0,5.0,0,500,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.027', 'shortRate': '-0.023', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",71,2.0,"{'volume': '250', 'priceRange': '25.0'}"
80,CHF_HKD,CURRENCY,CHF/HKD,-4,5,0,1,1.00000,0.00050,0,100000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0205', 'shortRate': '-0.0032', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
81,NZD_HKD,CURRENCY,NZD/HKD,-4,5,0,1,1.00000,0.00050,0,100000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '0', 'shortRate': '0', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
82,USD_CNH,CURRENCY,USD/CNH,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.033', 'shortRate': '-0.00080', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
83,XAU_GBP,METAL,Gold/GBP,-2,3,0,1,100.000,0.050,0,20000,0.05,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0138', 'shortRate': '-0.0109', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
84,SPX500_USD,CFD,US SPX 500,0,1,1,0.1,10000.0,5.0,0,10000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.0255', 'shortRate': '-0.0245', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",43,0.3,"{'volume': '500', 'priceRange': '4.0'}"
85,NZD_SGD,CURRENCY,NZD/SGD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '0', 'shortRate': '0', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0030,0.00030,"{'volume': '1000000', 'priceRange': '0.01000'}"
86,JP225Y_JPY,CFD,Japan 225 (JPY),0,1,0,1,10000.0,5.0,0,100000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.0247', 'shortRate': '-0.0253', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
87,BCH_USD,CFD,Bitcoin Cash,-1,2,2,0.01,1000.00,0.50,0,5000,0.5,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CRYPTO'}]","{'longRate': '-0.2505', 'shortRate': '-0.2495', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
88,USD_SGD,CURRENCY,USD/SGD,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0173', 'shortRate': '-0.0135', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0075,0.00020,"{'volume': '1000000', 'priceRange': '0.01000'}"
89,EUR_SEK,CURRENCY,EUR/SEK,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0144', 'shortRate': '-0.0066', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",0.0600,0.00500,"{'volume': '1000000', 'priceRange': '0.05000'}"
90,ESPIX_EUR,CFD,Spain 35,0,1,1,0.1,10000.0,5.0,0,500,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.0192', 'shortRate': '-0.0308', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
91,NZD_CHF,CURRENCY,NZD/CHF,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '0', 'shortRate': '0', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
92,XAU_XAG,METAL,Gold/Silver,-2,3,0,1,100.000,0.050,0,10000,0.1,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0099', 'shortRate': '-0.0152', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
93,HKD_JPY,CURRENCY,HKD/JPY,-4,5,0,1,1.00000,0.00050,0,100000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0125', 'shortRate': '-0.015', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
94,XAG_CHF,METAL,Silver/CHF,-4,5,0,1,1.00000,0.00050,0,500000,0.1,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0061', 'shortRate': '-0.017', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
95,AUD_CHF,CURRENCY,AUD/CHF,-4,5,0,1,1.00000,0.00050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0033', 'shortRate': '-0.0182', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
96,CHF_JPY,CURRENCY,CHF/JPY,-2,3,0,1,100.000,0.050,0,100000000,0.04,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0169', 'shortRate': '-0.0044', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
